name,description,category1,brand,price,images
"Avant Garde","Using the latest carpet-manufacturing technology, this Level Cut Loop (LCL) product, Avant Garde, adds a new dimension to hospitality carpeting. This striking checkerboard pattern and the array of contemporary colours provide the perfect match in creating modern elegance.SilverCare™ is a long-lasting protection system, with a base of non-toxic, hypoallergenic silver ions.","carpets","Belgotex","3","http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/Avant-Garde.png | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/Kemp.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/Dali.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/Warhol.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/Stella.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/Picasso.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/Moore.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/Monet.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/Matisse.jpg | "
"Baltimore","Baltimore – where great style meets cutting edge innovation! Baltimore offers the commercial flooring market a never seen before world of stylish options. Baltimore was specifically designed with the needs of the corporate and hospitality environments in mind. Baltimore is a densely constructed wall to wall carpet tile which features a unique yarn system that reduces surface “shading”. 100% SDX (Solution Dyed Nylon) fibres also provide excellent colour fastness and resistance to fading. With it’s international range of colourways Baltimore offers a colour option suited to a wide range of projects.SilverCare™ is a long-lasting protection system, with a base of non-toxic, hypoallergenic silver ions.","carpets","Belgotex","3","http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/Baltimore-Installation.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/travertine.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/timberwolf.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/statue.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/savanna.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/otter.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/milano.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/frontier.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/ink.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/meridian.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/metalic.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/gecko.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/civet.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/dazzle.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/estate.jpg | "
"Bella Vista","Now, the timeless elegance of Italy is encapsulated in a stunning range of cut-pile carpets from Belgotex Floors. The Bella Vista range is the perfect choice for many areas in your home where you need an elegant quality affordable floorcovering that is also environmentally friendly, comfortable, healthy and resilient. Featuring six colourways that are inspired by the ancient cobblestone streets of Florence, the pale clear water cascading down a hundred fountains in Tivoli Gardens, the concrete Colosseum set against a grey-blue sky, and the ash grey stone of Pompeii, Bella Vista is the pure beauty of Italy brought into your home. The beautiful view…it’s all the inspiration you need to create a beautiful home.SilverCare™ is a long-lasting protection system, with a base of non-toxic, hypoallergenic silver ions.","carpets","Belgotex","2","http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/08/AVANTI_594x594.png | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/08/TIVOLI_594x594.png | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/08/RIPOSO_594x594.png | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/08/FIRENZE_594x594.png | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/08/ENTRARE_594x594.png | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/08/COSTA_594x594.png | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/08/AVANTI_594x594.png | "
"Berberesque","Berberesque is a chunky and high-low looped carpet that comes in broadloom carpet. It is 9mm thick and is suited for a heavy residential installation.","carpets","Van Dyck","2","http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/berberesque-installation.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/Volcanic.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/Vanilla.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/Silica.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/Mercury.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/Loam.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/Coral.jpg | "
"Chianti","Chianti’s subtle and attractive colour array is an impeccable choice for your home!  This collection has the added advantage of being stain-resistant, making it one of the top ranges when looking for carpets.","carpets","Constantia","2","http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/06/installation.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/06/Siena-780.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/06/Pisa-900.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/06/Florence-930.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/06/Classico-960.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/06/Arezzo-640.jpg | "
"Classique","Classique is tufted and carefully looped for durability, warmth and comfort. Available in seven rich colours, Classique is ideal for heavy residential use.","carpets","Van Dyck","1","http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/classique-installation.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/riverbed.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/norwood.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/maizena.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/lesmel.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/greyhint.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/essenwood.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/cadbury.jpg | "
"Cobble Ridge","Inspired by the many fibres that bind our lives and are woven into our past, present and future, Belgotex Floors has created the Cobble Ridge range of multilevel loop pile carpets. This family friendly carpet range is comfortable and durable, and available in a variety of colourways based on flax, coir, ramie, hemp, angora and wool – the textile fibres that are woven, spun, knitted or knotted into the colourful fabrics, blank canvases, natural linens and strong yarns that form an integral part of our lives. It is ideal for children’s bedrooms or playrooms, as well as high traffic areas in your home.Belgotex Floors’ exciting Cobble Ridge range…it makes the whole picture of your home beautiful and unique in ways you could never imagine.SilverCare™ is a long-lasting protection system, with a base of non-toxic, hypoallergenic silver ions.","carpets","Belgotex","2","http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/08/Sheer-Coir_594x594.png | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/08/Snug-Wool_594x594.png | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/08/Sheer-Coir_594x594.png | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/08/Pale-Flax_594x594.png | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/08/Mellow-Ramie_594x594.png | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/08/Cosy-Angora_594x594.png | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/08/Cool-Hemp_594x594.png | "
"Colour Rib","The uniqueness of Colour Rib is in the innovative fibre engineering combined with the superior production process, making this Belgotex Floorcovering product a timeless investment for the discerning homeowner. Colour Rib is specified for a number of unique features, namely; a supreme resistance to moisture and mould with anti-allergenic and anti-static properties.","carpets","Belgotex","1","http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/color-rib-install.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/sable.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/lime.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/kevlar.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/fiesta.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/field-mouse.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/ebony7.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/bleach.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/blue-bottle.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/bush-baby.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/crystal.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/dapple.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/atlantic.jpg | "
"Conqueror","This carpet is an excellent choice when selecting a practical, hard-wearing carpet for the home. Manufactured from 100% Stainproof Miracle Fibre (Polypropylene), Conqueror is available in a range of attractive colours.SilverCare™ is a long-lasting protection system, with a base of non-toxic, hypoallergenic silver ions.","carpets","Belgotex","1","http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/conqueror-installation.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/target.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/sword.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/spear5.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/shield.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/moat.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/guard.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/assegai.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/bow.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/01/castle.jpg | "
"Cottage Weave","Cottage Weave is a beautiful level looped carpet to invite even the hairy members of the family in. It is a heavy residential carpet made from 100% BCF Stain Shield fibres.","carpets","Van Dyck","1","http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/cotton-weave-installation.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/Beaver-600.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/Summerwood-600.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/Snowvale-600.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/Seaholme-600.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/Rosedale-600.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/Oaklands-600.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/Lilyvale-600.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/Hazeyview-600.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/Dumela-600.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/Dixon-600.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/Belvedere-600.jpg | http://www.topcarpetsandfloors.co.za/wp-content/uploads/2016/02/Bela-Vista-600.jpg | "
